procedurecode,procedure name,,band_d,band_c,band_b,band_a,band_special
DRG2203,LABETALOL 100MG,196,156,207.48,296.6964,453.945492,1248.350103
DRG2035,OFLOXACIN 400MG TAB ,45,58.5,77.805,111.26115,170.2295595,468.1312886
DRG1997,VIDAGLIPTIN 50MG ,214,213,283.29,405.1047,619.810191,1704.478025
DRG1434,AMODIAQUINE 200MG ,25,32.5,43.225,61.81175,94.5719775,260.0729381
DRG1511,CETIRIZINE 10MG ,10,13,17.29,24.7247,37.828791,104.0291753
DRG1931,FESULF TABLET X100 TIN,2,2.6,3.458,4.94494,7.5657582,20.80583505
DRG1712,GLICLAZIDE 60MG ,166,158,210.14,300.5002,459.765306,1264.354592
DRG2191,KETOCONAZOLE CREAM ,400,520,691.6,988.988,1513.15164,4161.16701
DRG2366,METOCHLOPRAMIDE  HYDROCHLORIDE 10MG INJECTION ,50,65,86.45,123.6235,189.143955,520.1458763
DRG1256,AMOXCILLIN CLAVULANIC 228MG/5ML SUSPENSION ,"1,600.00",1600,2128,3043.04,4655.8512,12803.5908
DRG1725,DICLOFENAC SODIUM GEL,700,430,571.9,817.817,1251.26001,3440.965028
DRG1701,DEXAMETHAZONE 4MG INJ,45,58.5,77.805,111.26115,170.2295595,468.1312886
DRG1832,CHLORPHENIRAMINE SYRUP ,300,390,518.7,741.741,1134.86373,3120.875258
DRG1436,CAMOSUNATE ADULT,"1,900.00",81.25,108.0625,154.529375,236.4299438,650.1823455
DRG3169,ACICLOVIR 200MG TAB ,125,120,159.6,228.228,349.18884,960.26931
DRG2553,CEFIXIME 400MG ,240,215,285.95,408.9085,625.630005,1720.482514
DRG2658,PENTAZOCINE INJ 30MG,700,200,266,380.38,581.9814,1600.44885
DRG1405,HYOSCINE BUTYL-BROMIDE 20MG INJECTION ,90,50,66.5,95.095,145.49535,400.1122125
DRG4908,VALSARTAN HCTZ 160/12.5MG TAB,"1,028.00",141.03,187.5699,268.224957,410.3841842,1128.556507
DRG2195,CLOTRIMAZOLE/METRONIDAZOLE/LACTOBACILLUS SPORES ,583,270.83,360.2039,515.091577,788.0901128,2167.24781
DRG1512,BLOOD TONIC CAPSULES,80,50,66.5,95.095,145.49535,400.1122125
DRG2930,SIMVASTATIN 20MG,100,37.14,49.3962,70.636566,108.073946,297.2033515
DRG1025,ACICLOVIR TAB 400MG,142,170,226.1,323.323,494.68419,1360.381523
DRG1979,GRISEOFULVIN 125MG TAB,60,50,66.5,95.095,145.49535,400.1122125
DRG1249,AMOXICILLIN CLAVULANIC ACID 1.2MG INJECTION ,"2,200.00",1500,1995,2852.85,4364.8605,12003.36638
DRG2859,RINGER'S LACTATE,550,500,665,950.95,1454.9535,4001.122125
MED0443,Pregesic,80,80,106.4,152.152,232.79256,640.17954
DRG1900,AMLODIPINE VALSARTAN HCT 10/160/12.5MG TAB ,"1,107.00",364,484.12,692.2916,1059.206148,2912.816907
DRG1980,GRISEOFULVIN 500MG ,80,25,33.25,47.5475,72.747675,200.0561063
DRG1002,DEXTROSE SALINE 4.3 ,530,494,657.02,939.5386,1437.494058,3953.10866
DRG1528,CHLORPHENIRAMINE INJ 4MG,120,156,207.48,296.6964,453.945492,1248.350103
DRG4399,HYDROCHLORTHIAZIDE 50MG,15,19.5,25.935,37.08705,56.7431865,156.0437629
DRG1771,TAMSULOSIN HYDROCHLORIDE/FINASTERIDE 0.4/0.5MG ,216,258,343.14,490.6902,750.756006,2064.579017
DRG4836,TELMISARTAN HCT 40/12.5MG TABLET,193,115,152.95,218.7185,334.639305,920.2580888
DRG4151,CEFUROXIME 750MG INJ,800,1040,1383.2,1977.976,3026.30328,8322.33402
DRG4247,DICLOFENAC 100MG SUPPOSITORIES,450,135,179.55,256.7565,392.837445,1080.302974
DRG3043,TETANUS TOXOID INJ 0.5MG,300,100,133,190.19,290.9907,800.224425
DRG1463,CARVEDILOL 6.25MG TAB,32,41.6,55.328,79.11904,121.0521312,332.8933608
DRG2793,RAMIPRIL 10MG ,89,60.36,80.2788,114.798684,175.6419865,483.0154629
DRG1144,AMOXICILLIN 500MG INJECTION ,400,400,532,760.76,1163.9628,3200.8977
DRG1067,ALLOPURINOL 100MG TAB,89,40,53.2,76.076,116.39628,320.08977
DRG1482,CEFUROXIME 125MG SUSPENSION ,"2,300.00",1488.5,1979.705,2830.97815,4331.39657,11911.34057
DRG1746,"VIT B1, B6, B12/ DICLOFENAC 50MG  (DOLOMETA)",50,26.32,35.0056,50.058008,76.58875224,210.6190687
DRG1222,ASPIRIN 300MG,6,7.8,10.374,14.83482,22.6972746,62.41750515
DRG1455,CARBIMAZOLE 5MG,91,53.85,71.6205,102.417315,156.698492,430.920853
DRG2197,POTASSIUM CHLORIDE INJ,700,50,66.5,95.095,145.49535,400.1122125
DRG1819,EMVIT-C TAB X 100,8,10.4,13.832,19.77976,30.2630328,83.2233402
DRG1454,CARBAMAZEPINE 200MG TAB,280,97.1,129.143,184.67449,282.5519697,777.0179167
DRG3185,VITAMIN B-CO SYRUP,300,200,266,380.38,581.9814,1600.44885
DRG1413,CALAMINE LOTION ,700,340,452.2,646.646,989.36838,2720.763045
DRG1010,GABAPENTIN 300MG ,110,73,97.09,138.8387,212.423211,584.1638303
DRG4544,MELOXICAM 15MG ,160,74,98.42,140.7406,215.333118,592.1660745
DRG1708,HYDROCORTISONE CREAM,750,350,465.5,665.665,1018.46745,2800.785488
DRG4977,LEVOCETIRIZINE 5MG ,32,41.6,55.328,79.11904,121.0521312,332.8933608
DRG3044,TETRACYCLINE CAP 250MG,45,15,19.95,28.5285,43.648605,120.0336638
DRG1284,TRIPLE ACTION CREAM,480,533,708.89,1013.7127,1550.980431,4265.196185
DRG2907,SECNIDAZOLE 500MG TABS,225,120,159.6,228.228,349.18884,960.26931
