,,USING 2025 PLAN PRICE DIFFERENCE,,,,
procedurecode,procedure name,band_d,band_c,band_b,band_a,band_special
MED0200,METFORMIN 1000MG GLIMEPIRIDE 1MG,180,239.4,339.948,526.9194,1053.8388
DRG4239,DIHYDROCODEINE TAB 30MG,250,332.5,472.15,731.8325,1463.665
DRG2259,LIVOLIN FORTE,200,266,377.72,585.466,1170.932
MED0087,HYOSCINE BUTYL BROMIDE 10MG INJECTION,300,399,566.58,878.199,1756.398
DRG1573,CLINDAMYCIN 300MG CAP,300,399,566.58,878.199,1756.398
DRG2872,TINIDAZOLE 500MG,123,163.59,232.2978,360.06159,720.12318
MED0064,AMPICILLIN CLOXACILLIN 250MG/5ML SUSPENSION,1500,1995,2832.9,4390.995,8781.99
DRG3082,SITAGLIPTIN 100MG,180,239.4,339.948,526.9194,1053.8388
DRG1453,CARBAMAZEPINE 400MG TAB,200,266,377.72,585.466,1170.932
DRG3281,ALBENDAZOLE 200MG TAB,120,159.6,226.632,351.2796,702.5592
DRG1364,BISOPROLOL 10MG,92.3,122.759,174.31778,270.192559,540.385118
DRG4147,CEFTAZIDIME 1G INJ,2500,3325,4721.5,7318.325,14636.65
DRG2012,GENTAMYCIN EAR/EYE DROP,900,1197,1699.74,2634.597,5269.194
DRG1456,CARBIROD TAB 500MGX100,185,246.05,349.391,541.55605,1083.1121
DRG1630,CO-TRIMOXAZOLE SYRUP,800,1064,1510.88,2341.864,4683.728
DRG1068,ALLOPURINOL 300MG TAB,100,133,188.86,292.733,585.466
DRG2301,LOSARTAN/HYDROCHLOROTHIAZIDE 50MG/12.5MG,121.5,161.595,229.4649,355.670595,711.34119
DRG1717,DIAZEPAM 10MG INJ,450,598.5,849.87,1317.2985,2634.597
DRG1133,AMOXICILLIN CLAVULANIC ACID 457MG SUSPENSION,2000,2660,3777.2,5854.66,11709.32
DRG2903,CANDERSARTAN 16MG,200,266,377.72,585.466,1170.932
DRG1706,CHLORAMPHENICCOL EYE DROP,700,931,1322.02,2049.131,4098.262
DRG1441,CANDESARTAN 8MG,300,399,566.58,878.199,1756.398
DRG1648,CRYSTALLINE PENICILLIN 1MU,500,665,944.3,1463.665,2927.33
DRG1546,CIPROFLOXACIN EYE DROPS,1000,1330,1888.6,2927.33,5854.66
DRG1460,CARVEDILOL 12.5MG TAB,118,156.94,222.8548,345.42494,690.84988
DRG2945,POTASSIUM CHLORIDE 600MG TAB,100,133,188.86,292.733,585.466
DRG2537,INSULIN PEN NEEDLES,130,172.9,245.518,380.5529,761.1058
DRG1361,BISACODYL 5MG TAB,50,66.5,94.43,146.3665,292.733
DRG2754,PROMETHAZINE SYRUP,600,798,1133.16,1756.398,3512.796
DRG1182,ARTIFICIAL TEARS,1500,1995,2832.9,4390.995,8781.99
DRG1172,TRYPSIN + CHYMOTRYPSIN,80,106.4,151.088,234.1864,468.3728
DRG2150,ISOSORBIDE DINITRATE 5MG TABS,100,133,188.86,292.733,585.466
MED0019,ATENOLOL 25MG,50,66.5,94.43,146.3665,292.733
DRG4648,ORAL CONTRACEPTIVE,135,179.55,254.961,395.18955,790.3791
DRG1462,CARVEDILOL 3.125MG,81,107.73,152.9766,237.11373,474.22746
DRG2929,SIMVASTATIN 10MG,50.86,67.6438,96.054196,148.8840038,297.7680076
PCD788,BLOOD TRANSFUSION RH +VE BLOOD WITH SET,50000,66500,94430,146366.5,292733
DRG1661,MISOPRISTOL 200MCG TABLET,150,199.5,283.29,439.0995,878.199
DRG2122,HYDROXY UREA 500MG,143.65,191.0545,271.29739,420.5109545,841.021909
