procedurecode,proceduredesc,tariffamount,tariffname
DRG1467,CASTOR OIL B.,6519.74,isalu
DIAG139,CATHETER SITE DRESSING,1500.00,isalu
PCD241,CATHETERISATION,56430.00,isalu
CLI0067,CAUTERIZATION,106920.00,isalu
DIAG543,CEA,44000.00,isalu
DIAG546,CEA -Carcino Embryonic Antigen -  [Tissue],30000.00,isalu
DRG1472,CECLOR SUSPENSION,1800.00,isalu
DRG1474,CEFIXIME 100MG SUSPENSION,2851.20,isalu
DRG2552,CEFIXIME 200MG,250.00,isalu
DRG2553,CEFIXIME 400MG,250.00,isalu
DRG1476,CEFOTAXIME INJECTION 500MG,3399.34,isalu
DRG4143,CEFPODOXIME 100MG/5ML SYRUP,11370.74,isalu
DRG4144,CEFPODOXIME 200MG,465.70,isalu
DRG4146,CEFPODOXIME 50MG/5ML SYRUP,4160.00,isalu
DRG4147,CEFTAZIDIME 1G INJ,3150.00,isalu
DRG4149,CEFTRIAXONE 500MG INJ,950.40,isalu
DRG1477,CEFTRIAZONE INJ 1G,2905.36,isalu
DRG1479,CEFUNAT SUSPENSION,504.90,isalu
DRG1482,CEFUROXIME 125MG SUSPENSION,6414.96,isalu
DRG4150,CEFUROXIME 250MG INJ,2100.00,isalu
DRG1991,CEFUROXIME 250MG SUSPENSION,4621.35,isalu
DRG1480,CEFUROXIME 250MG TAB,200.00,isalu
MED0198,CEFUROXIME 500MG INJ,960.00,isalu
DRG1478,CEFUROXIME 500MG TAB,250.00,isalu
DRG4151,CEFUROXIME 750MG INJ,2285.99,isalu
DRG1485,CELECOXIB 200MG CAPS,150.00,isalu
DIAG701,Cell count -  [CSF],7300.00,isalu
PCD159,Central Vein Catheterisation-Procedure Kit,56133.00,isalu
DRG3319,CENTRUM MULTIVITAMINS TAB,123.84,isalu
DRG2959,CEPHALEXIN 125MG/5ML SUSPENSION,1224.00,isalu
DRG1498,CEPHALEXIN 500MG CAPS,123.84,isalu
DRG1501,CEPOREX SYRUP 125MG/ML,1800.00,isalu
DRG1502,CEPOREX SYRUP 250MG/ML,2088.00,isalu
DRG4155,CERVARIX INJECTION,20587.07,isalu
PCD304,CERVICAL CERCLEAGE,179550.00,isalu
DRG1504,CERVICAL COLLAR HARD LARGE,17084.41,isalu
DRG1505,CERVICAL COLLAR HARD MEDIUM,8910.00,isalu
DRG1506,CERVICAL COLLAR SOFT LARGE,7920.00,isalu
PCD258,CERVICAL LACERATION REPAIR,10656.00,isalu
PCD257,CERVICAL POLYPECTOMY,81000.00,isalu
PCD615,Cervical Rib Excision,7200.00,isalu
PCD254,Cervix - Amputation Or Reconstruction Vaginal Approach,130000.00,isalu
PCD256,Cervix Cauterisation Of - With Anaesthesia,50000.00,isalu
PCD309,CESAREAN SECTION WITH BILATERAL SALPINGOOPERECTOMY,200000.00,isalu
DRG1376,Cetalkonium Chloride + Choline Salicylate 1OG,1424.25,isalu
